#Easting Northing Elev. Mass/Area  [-4->-3) [-3->-2) [-2->-1) [-1->0) [0->1) [1->2) [2->3) [3->4) 
485290 1400190 350 2.4e-119  0 0 0 4.1e-194 6.6e-65 5.6e-08 0.0035 1e+02 
485290 1401690 350 6.4e-116  0 0 0 3.9e-200 1.8e-67 2.2e-08 0.0048 1e+02 
485290 1403190 350 1.3e-112  0 0 0 1.2e-206 3e-70 7.4e-09 0.0064 1e+02 
485290 1404690 350 1.8e-109  0 0 0 0 2.8e-73 2.1e-09 0.0086 1e+02 
485290 1406190 350 1.9e-106  0 0 0 0 1.5e-76 4.8e-10 0.011 1e+02 
485290 1407690 350 1.5e-103  0 0 0 0 4.6e-80 9.4e-11 0.016 1e+02 
485290 1409190 350 8.4e-101  0 0 0 0 8.3e-84 1.5e-11 0.022 1e+02 
485290 1410690 350 3.5e-98  0 0 0 0 8.6e-88 2.1e-12 0.031 1e+02 
485290 1412190 350 1.1e-95  0 0 0 0 5e-92 2.4e-13 0.046 1e+02 
485290 1413690 350 2.6e-93  0 0 0 0 1.6e-96 2.2e-14 0.07 1e+02 
485290 1415190 350 4.8e-91  0 0 0 0 3e-101 1.6e-15 0.11 1e+02 
485290 1416690 350 6.9e-89  0 0 0 0 2.8e-106 8.9e-17 0.17 1e+02 
485290 1418190 350 8.2e-87  0 0 0 0 1.4e-111 3.8e-18 0.26 1e+02 
485290 1419690 350 7.9e-85  0 0 0 0 3.6e-117 1.2e-19 0.39 1e+02 
485290 1421190 350 6.5e-83  0 0 0 0 4.7e-123 2.8e-21 0.58 99 
485290 1422690 350 4.5e-81  0 0 0 0 3.1e-129 4.8e-23 0.82 99 
485290 1424190 350 2.6e-79  0 0 0 0 1e-135 5.9e-25 1.1 99 
485290 1425690 350 1.3e-77  0 0 0 0 1.6e-142 5.2e-27 1.4 99 
485290 1427190 350 5.8e-76  0 0 0 0 1.2e-149 3.2e-29 1.7 98 
485290 1428690 350 2.2e-74  0 0 0 0 4.7e-157 1.4e-31 1.9 98 
485290 1430190 350 7.5e-73  0 0 0 0 8.6e-165 4.3e-34 1.9 98 
485290 1431690 350 2.2e-71  0 0 0 0 7.6e-173 9.2e-37 1.7 98 
486790 1332690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
486790 1334190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
486790 1335690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
486790 1337190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
486790 1338690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
486790 1340190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
486790 1341690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
486790 1343190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
486790 1344690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
486790 1346190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
486790 1347690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
486790 1349190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
486790 1350690 350 1.6e-316  0 0 0 0 0 0 0 1e+02 
486790 1352190 350 5.8e-308  0 0 0 0 0 0 0 1e+02 
486790 1353690 350 1.5e-299  0 0 0 0 0 1.7e-20 5.5e-14 1e+02 
486790 1355190 350 2.8e-291  0 0 0 0 0 3.7e-19 2.1e-13 1e+02 
486790 1356690 350 3.8e-283  0 0 0 0 0 7.1e-18 8.2e-13 1e+02 
486790 1358190 350 3.6e-275  0 0 0 0 0 1.1e-16 3.3e-12 1e+02 
