#Easting Northing Elev. Mass/Area  [-4->-3) [-3->-2) [-2->-1) [-1->0) [0->1) [1->2) [2->3) [3->4) 
488290 1335690 350 5.3e-21  0 0 0 0 2.4e-211 7.9e-73 7.6e-13 1e+02 
488290 1337190 350 2.7e-19  0 0 0 0 1.6e-202 5.4e-69 1.1e-11 1e+02 
488290 1338690 350 1.2e-17  0 0 0 0 5.5e-194 2.6e-65 1.3e-10 1e+02 
488290 1340190 350 4.7e-16  0 0 0 0 9e-186 8.9e-62 1.4e-09 1e+02 
488290 1341690 350 1.7e-14  0 0 0 0 6.8e-178 2e-58 1.2e-08 1e+02 
488290 1343190 350 5.3e-13  0 0 0 0 2.4e-170 3.1e-55 8.2e-08 1e+02 
488290 1344690 350 1.5e-11  0 0 0 0 4.1e-163 3.4e-52 5e-07 1e+02 
488290 1346190 350 3.7e-10  0 0 0 0 3.4e-156 2.6e-49 2.7e-06 1e+02 
488290 1347690 350 7.5e-09  0 0 0 0 1.5e-149 1.5e-46 1.3e-05 1e+02 
488290 1349190 350 1.3e-07  0 0 0 0 3.1e-143 6.3e-44 5.9e-05 1e+02 
488290 1350690 350 1.8e-06  0 0 0 2.1e-306 3.5e-137 2e-41 0.00024 1e+02 
